file	intent	top_graphType	top_score	top_category	scoring_factors	alt1_graphType	alt1_score	alt2_graphType	alt2_score	alt3_graphType	alt3_score	n_factor	n_numeric	n_time	n_bool	generate_hint
heatmap	Show gene expression heatmap across samples	Heatmap	1.0	single_dimensional	4+ numeric vars — wide-format matrix view preferred over parallel coordinates | many numeric vars → matrix view | enough rows for matrix	Scatter2D	0.9	Dotplot	0.85	Scatter3D	0.85	1	8	0	0	Heatmap chart — columns: Gene, Sample1, Sample2, Sample3, Sample4, Sample5, Sample6, Sample7, Sample8
hexplot	Show density of two continuous variables with 500 data points	Hexplot	1.0	multi_dimensional	2 numeric → hex binning | large n — hexplot prevents overplotting	Density	1.0	Contour	1.0	Scatter2D	1.0	1	2	0	0	Hexplot chart — columns: Sample, X, Y
histogram	Show frequency distribution of continuous measurement	Histogram	1.0	single_dimensional	1+ numeric → frequency distribution | enough data for bins	Boxplot	1.0	Violin	1.0	Bar	1.0	2	1	0	0	Histogram chart of Value grouped by Group — columns: Sample, Value, Group
kaplan_meier	Survival analysis comparing drug vs placebo arm	KaplanMeier	1.0	multi_dimensional	numeric time + category group	Boxplot	0.9	Scatter2D	0.9	ParallelCoordinates	0.9	2	2	0	0	KaplanMeier chart of Time grouped by Arm — columns: Patient, Time, Event, Arm
line	Show monthly sales trend by region over time	Line	1.0	single_dimensional	time + numeric → trend line | colour by category | enough time points	Spaghetti	1.0	Bar	0.9	Dotplot	0.85	1	1	1	0	Line chart of Sales over Month — columns: Month, Sales, Region
lollipop	Rank genes by expression fold change as lollipop chart	Lollipop	1.0	single_dimensional	cat + numeric → lollipop	Heatmap	1.0	Boxplot	1.0	Volcano	0.9	2	1	0	0	Lollipop chart of Expression grouped by Gene colored by Direction — columns: Gene, Expression, Direction
map	Show clinical trial enrollment and completion rate by US state on a map	Map	1.0	geographic		Boxplot	0.9	Scatter2D	0.9	ParallelCoordinates	0.9	1	2	0	0	Map chart of Enrollment grouped by State — columns: State, Enrollment, CompletionRate
map_world	World map showing GDP and population by country	Map	1.0	geographic		Bar	1.0	Boxplot	0.9	Scatter2D	0.9	1	2	0	0	Map chart of GDP grouped by Country — columns: Country, GDP, Population
network	Show network connections between nodes with edge weights	Network	1.0	network	2 cats — possible node/edge pairs	Sankey	1.0	Alluvial	1.0	Chord	0.9	2	1	0	0	Network chart of Weight grouped by Source colored by Target — columns: Source, Target, Weight
parallel_coordinates	Show multivariate profiles of three classes	ParallelCoordinates	1.0	multi_dimensional	2+ numeric → parallel axes | colour lines by category | < 4 numeric cols — parallel coordinates preferred over heatmap	Boxplot	0.9	Scatter2D	0.9	Scatter3D	0.85	2	3	0	0	ParallelCoordinates chart of F1 grouped by Class — columns: Sample, F1, F2, F3, Class
pareto	Pareto chart of defect types by frequency	Pareto	1.0	single_dimensional	cat + numeric → ranked bar + cumulative %	Bar	0.9	Dotplot	0.85	Boxplot	0.8	1	1	0	0	Pareto chart of Count grouped by DefectType — columns: DefectType, Count
qq	QQ plot to assess normality of observed residuals	QQ	1.0	multi_dimensional	1+ numeric → quantile comparison | sufficient n for quantiles	Bar	1.0	Density	0.85	CDF	0.85	2	1	0	0	QQ chart of Observed grouped by Group — columns: Sample, Observed, Group
radar	Compare team performance across five skill dimensions	Radar	1.0	multi_dimensional	3+ numeric axes + category groups | 5+ axes — spider chart ideal	Bar	1.0	Dotplot	0.85	Scatter3D	0.85	1	5	0	0	Radar chart of Speed grouped by Team — columns: Team, Speed, Strength, Agility, Endurance, Precision
ribbon	Ribbon plot of ranges per group	Ribbon	1.0	single_dimensional	numeric start/end ranges per group	Gantt	1.0	Boxplot	0.9	Scatter2D	0.9	2	2	0	0	Ribbon chart of Start grouped by Group — columns: Sample, Start, End, Group
ridgeline	Compare score distributions across five departments	Ridgeline	1.0	single_dimensional	cat + numeric → stacked densities | enough n per group for density	Bar	1.0	Boxplot	1.0	Violin	1.0	2	1	0	0	Ridgeline chart of Score grouped by Department — columns: Sample, Score, Department
sankey	Show patient flow through clinical trial stages	Sankey	1.0	single_dimensional	2 cats as source/target + flow value	Alluvial	1.0	Chord	0.9	Dotplot	0.85	2	1	0	0	Sankey chart of Value grouped by Source colored by Target — columns: Source, Target, Value
scatter2d	Show PCA of samples colored by condition	Scatter2D	1.0	multi_dimensional	2+ numeric → x/y scatter | colour by category | sufficient points	SPLOM	1.0	Boxplot	0.9	ParallelCoordinates	0.9	2	2	0	0	Scatter2D chart of PCA1 grouped by Condition — columns: Sample, PCA1, PCA2, Condition
scatter3d	3D scatter of samples across three principal components by cluster	Scatter3D	1.0	multi_dimensional	3 numeric → x/y/z scatter | colour by category	Scatter2D	1.0	Boxplot	0.9	ParallelCoordinates	0.9	2	3	0	0	Scatter3D chart of PC1 grouped by Cluster — columns: Sample, PC1, PC2, PC3, Cluster
scatter_bubble_2d	Bubble chart of GDP per capita vs life expectancy sized by population	ScatterBubble2D	1.0	multi_dimensional	3 numeric → x, y, size | colour bubbles by category	Bubble	1.0	Scatter2D	0.9	ParallelCoordinates	0.9	2	3	0	0	ScatterBubble2D chart of GDPperCapita grouped by Country colored by Region — columns: Country, GDPperCapita, LifeExpectancy, Population, Region
spaghetti	Individual patient lab trajectories over visits by treatment arm	Spaghetti	1.0	single_dimensional	moderate n — trajectories readable	Line	1.0	Dotplot	1.0	Bar	0.85	3	1	0	0	Spaghetti chart of LabValue grouped by Visit colored by Treatment — columns: PatientID, Visit, LabValue, Treatment
splom	Pairwise scatter matrix of iris measurements by species	SPLOM	1.0	multi_dimensional	2–4 numeric → compact pairwise matrix	Scatter2D	1.0	Boxplot	0.9	Scatter3D	0.85	2	4	0	0	SPLOM chart of SepalLength grouped by Species — columns: Sample, SepalLength, SepalWidth, PetalLength, PetalWidth, Species
stacked	Show quarterly breakdown by region as stacked bar	Stacked	1.0	single_dimensional	1 cat + numeric — possible stacked	Bullet	1.0	Dumbbell	1.0	Ribbon	1.0	1	4	0	0	Stacked chart of Q1 grouped by Category — columns: Category, Q1, Q2, Q3, Q4
stacked_percent	Show age group composition per product as 100% stacked bar	StackedPercent	1.0	single_dimensional	wide format: 1 cat + multiple numeric levels → 100% stacked	Stacked	1.0	SPLOM	1.0	ParallelCoordinates	0.9	1	3	0	0	StackedPercent chart of Age18_34 grouped by Product — columns: Product, Age18_34, Age35_54, Age55plus
streamgraph	Show composition of device usage over time as streamgraph	Streamgraph	1.0	single_dimensional		Stacked	1.0	Line	0.85	Density	0.85	2	1	0	0	Streamgraph chart of Value grouped by Year colored by Category — columns: Year, Category, Value
sunburst	Show adverse event hierarchy by SOC, preferred term, and severity	Sunburst	1.0	single_dimensional	2+ cats + numeric → radial hierarchy	Treemap	1.0	Bar	1.0	Dotplot	0.85	3	1	0	0	Sunburst chart of Value grouped by Level1 colored by Level2 — columns: Level1, Level2, Level3, Value
tag_cloud	Show frequency of clinical research terms as word cloud	TagCloud	1.0	single_dimensional	category labels → word cloud	Dotplot	0.85	Bar	0.7	Stacked	0.7	2	1	0	0	TagCloud chart of Frequency grouped by Term colored by Category — columns: Term, Frequency, Category
time_series	Sensor readings over 48-hour period for two sensors	TimeSeries	1.0	single_dimensional	multiple series by category	Density	0.85	CDF	0.85	Boxplot	0.8	2	1	0	0	TimeSeries chart of Value grouped by Datetime colored by Sensor — columns: Datetime, Value, Sensor
tornado	Tornado sensitivity analysis of key business variables	Tornado	1.0	single_dimensional	cat + 2 numeric → diverging bar	SPLOM	1.0	ParallelCoordinates	0.9	Dotplot	0.85	1	2	0	0	Tornado chart of LowImpact grouped by Variable — columns: Variable, LowImpact, HighImpact
tree_bracket	Tournament bracket results by round	TreeBracket	1.0	single_dimensional	category labels → dendrogram leaves	Alluvial	0.6	Upset	0.4	Dotplot	0.35	3	0	0	0	TreeBracket chart — columns: Team, Round, Result
treemap	Show headcount hierarchically by department and sub-department	Treemap	1.0	single_dimensional	cat + numeric → hierarchical size | nested hierarchy	Bar	1.0	Heatmap	1.0	Sunburst	0.9	2	1	0	0	Treemap chart of Headcount grouped by Department colored by SubDept — columns: Department, SubDept, Headcount
upset	Upset plot showing intersections of four gene sets	Upset	1.0	single_dimensional		SPLOM	1.0	Boxplot	0.9	Scatter2D	0.9	1	4	0	0	Upset chart of SetA grouped by Member — columns: Member, SetA, SetB, SetC, SetD
venn	Show overlap between three gene sets	Venn	1.0	single_dimensional	2+ cats — possible set membership	Upset	1.0	CDF	0.4	Density	0.35	2	0	0	0	Venn chart — columns: Set, Member
violin	Show gene expression distribution by cell type	Violin	1.0	single_dimensional	cat + numeric → distribution shape | enough data for density estimate	Boxplot	1.0	Bar	1.0	Histogram	0.9	2	1	0	0	Violin chart of Value grouped by Group — columns: Sample, Group, Value
volcano	Volcano plot of differential expression log2FC vs significance	Volcano	1.0	multi_dimensional	2 numeric — possible volcano	Boxplot	0.9	Scatter2D	0.9	ParallelCoordinates	0.9	1	2	0	0	Volcano chart of log2FC grouped by Gene — columns: Gene, log2FC, negLog10Pvalue
waterfall	Show cumulative financial waterfall from sales to net income	Waterfall	1.0	single_dimensional	numeric response + subject identifier	Bar	0.9	Dotplot	0.85	Density	0.65	1	1	0	0	Waterfall chart of Value grouped by Category — columns: Category, Value
wordcloud	Show frequency of clinical research terms as word cloud	TagCloud	1.0	single_dimensional	category labels → word cloud	Dotplot	0.85	Bar	0.7	Stacked	0.7	2	1	0	0	TagCloud chart of Frequency grouped by Term colored by Category — columns: Term, Frequency, Category
