file	intent	top_graphType	top_score	top_category	scoring_factors	alt1_graphType	alt1_score	alt2_graphType	alt2_score	alt3_graphType	alt3_score	n_factor	n_numeric	n_time	n_bool	generate_hint
scatter2d	Show PCA of samples colored by condition	Scatter2D	1.0	multi_dimensional	2+ numeric → x/y scatter | colour by category | sufficient points	Scatter3D	1.0	SPLOM	1.0	Boxplot	0.9	3	3	0	0	Scatter2D chart of PCA1 grouped by Condition colored by Category2 — columns: Sample, PCA1, PCA2, Condition, Category2, ExtraValue
scatter3d	3D scatter of samples across three principal components by cluster	Scatter3D	1.0	multi_dimensional	3 numeric → x/y/z scatter | colour by category	Scatter2D	1.0	Heatmap	1.0	Boxplot	0.9	3	4	0	0	Scatter3D chart of PC1 grouped by Cluster colored by Category2 — columns: Sample, PC1, PC2, PC3, Cluster, Category2, ExtraValue
scatter_bubble_2d	Bubble chart of GDP per capita vs life expectancy sized by population	ScatterBubble2D	1.0	multi_dimensional	3 numeric → x, y, size | colour bubbles by category	Bubble	1.0	Heatmap	1.0	Scatter2D	0.9	3	4	0	0	ScatterBubble2D chart of GDPperCapita grouped by Country colored by Region — columns: Country, GDPperCapita, LifeExpectancy, Population, Region, Category2, ExtraValue
spaghetti	Individual patient lab trajectories over visits by treatment arm	Spaghetti	1.0	single_dimensional	moderate n — trajectories readable	SPLOM	1.0	Line	1.0	Dotplot	1.0	4	2	0	0	Spaghetti chart of LabValue grouped by Visit colored by Treatment — columns: PatientID, Visit, LabValue, Treatment, Category2, ExtraValue
splom	Pairwise scatter matrix of iris measurements by species	SPLOM	1.0	multi_dimensional	5+ numeric → pairwise scatter matrix	Scatter2D	1.0	Heatmap	1.0	Boxplot	0.9	3	5	0	0	SPLOM chart of SepalLength grouped by Species colored by Category2 — columns: Sample, SepalLength, SepalWidth, PetalLength, PetalWidth, Species, Category2, ExtraValue
stacked	Show quarterly breakdown by region as stacked bar	Stacked	1.0	single_dimensional	2+ categories ideal for stacking	Bullet	1.0	Dumbbell	1.0	StackedPercent	1.0	2	5	0	0	Stacked chart of Q1 grouped by Category colored by Category2 — columns: Category, Q1, Q2, Q3, Q4, Category2, ExtraValue
stacked_percent	Show age group composition per product as 100% stacked bar	Stacked	1.0	single_dimensional	2+ categories ideal for stacking	StackedPercent	1.0	SPLOM	1.0	Heatmap	1.0	2	4	0	0	Stacked chart of Age18_34 grouped by Product colored by Category2 — columns: Product, Age18_34, Age35_54, Age55plus, Category2, ExtraValue
streamgraph	Show composition of device usage over time as streamgraph	Streamgraph	1.0	single_dimensional		SPLOM	1.0	Stacked	1.0	BarLine	1.0	3	2	0	0	Streamgraph chart of Value grouped by Year colored by Category — columns: Year, Category, Value, Category2, ExtraValue
sunburst	Show adverse event hierarchy by SOC, preferred term, and severity	Sunburst	1.0	single_dimensional	2+ cats + numeric → radial hierarchy	Treemap	1.0	SPLOM	1.0	Bar	1.0	4	2	0	0	Sunburst chart of Value grouped by Level1 colored by Level2 — columns: Level1, Level2, Level3, Value, Category2, ExtraValue
tag_cloud	Show frequency of clinical research terms as word cloud	TagCloud	1.0	single_dimensional	category labels → word cloud	Scatter2D	0.9	ParallelCoordinates	0.9	Dotplot	0.85	3	2	0	0	TagCloud chart of Frequency grouped by Term colored by Category — columns: Term, Frequency, Category, Category2, ExtraValue
time_series	Sensor readings over 48-hour period for two sensors	SPLOM	1.0	multi_dimensional	2–4 numeric → compact pairwise matrix	TimeSeries	1.0	Boxplot	0.9	Scatter2D	0.9	3	2	0	0	SPLOM chart of Value grouped by Datetime colored by Sensor — columns: Datetime, Value, Sensor, Category2, ExtraValue
tornado	Tornado sensitivity analysis of key business variables	Tornado	1.0	single_dimensional	cat + 2 numeric → diverging bar	SPLOM	1.0	ParallelCoordinates	0.9	Dotplot	0.85	2	3	0	0	Tornado chart of LowImpact grouped by Variable colored by Category2 — columns: Variable, LowImpact, HighImpact, Category2, ExtraValue
tree_bracket	Tournament bracket results by round	TreeBracket	1.0	single_dimensional	category labels → dendrogram leaves	Dotplot	0.85	Heatmap	0.75	Bar	0.7	4	1	0	0	TreeBracket chart of ExtraValue grouped by Team colored by Round — columns: Team, Round, Result, Category2, ExtraValue
treemap	Show headcount hierarchically by department and sub-department	Treemap	1.0	single_dimensional	cat + numeric → hierarchical size | nested hierarchy	Bar	1.0	Heatmap	1.0	Boxplot	0.9	3	2	0	0	Treemap chart of Headcount grouped by Department colored by SubDept — columns: Department, SubDept, Headcount, Category2, ExtraValue
upset	Upset plot showing intersections of four gene sets	Upset	1.0	single_dimensional	2+ cats → set membership	SPLOM	1.0	Heatmap	1.0	Boxplot	0.9	2	5	0	0	Upset chart of SetA grouped by Member colored by Category2 — columns: Member, SetA, SetB, SetC, SetD, Category2, ExtraValue
venn	Show overlap between three gene sets	Venn	1.0	single_dimensional	2+ cats — possible set membership	Upset	1.0	Density	0.85	CDF	0.85	3	1	0	0	Venn chart of ExtraValue grouped by Set colored by Member — columns: Set, Member, Category2, ExtraValue
violin	Show gene expression distribution by cell type	Violin	1.0	single_dimensional	cat + numeric → distribution shape | enough data for density estimate	Boxplot	1.0	SPLOM	1.0	Heatmap	0.95	3	2	0	0	Violin chart of Value grouped by Group colored by Category2 — columns: Sample, Group, Value, Category2, ExtraValue
volcano	Volcano plot of differential expression log2FC vs significance	Volcano	1.0	multi_dimensional	2 numeric — possible volcano	SPLOM	1.0	Boxplot	0.9	Scatter2D	0.9	2	3	0	0	Volcano chart of log2FC grouped by Gene colored by Category2 — columns: Gene, log2FC, negLog10Pvalue, Category2, ExtraValue
waterfall	Show cumulative financial waterfall from sales to net income	SPLOM	1.0	multi_dimensional	2–4 numeric → compact pairwise matrix	Waterfall	1.0	ParallelCoordinates	0.9	Dotplot	0.85	2	2	0	0	SPLOM chart of Value grouped by Category colored by Category2 — columns: Category, Value, Category2, ExtraValue
wordcloud	Show frequency of clinical research terms as word cloud	TagCloud	1.0	single_dimensional	category labels → word cloud	Scatter2D	0.9	ParallelCoordinates	0.9	Dotplot	0.85	3	2	0	0	TagCloud chart of Frequency grouped by Term colored by Category — columns: Term, Frequency, Category, Category2, ExtraValue
